[2026-06-16 17:29:37] IP: ::1 | User: admin | Activity: Successful login
[2026-06-22 18:06:29] IP: ::1 | User: admin | Activity: Successful login
[2026-06-23 13:06:14] IP: ::1 | User: admin | Activity: Successful login
[2026-06-30 15:39:10] IP: ::1 | User: admin | Activity: Account locked - too many attempts
[2026-06-30 15:39:12] IP: ::1 | User: admin | Activity: Account locked - too many attempts
[2026-06-30 15:39:55] IP: ::1 | User: admin | Activity: Successful login
[2026-07-03 12:18:18] IP: ::1 | User: admin | Activity: Session expired
[2026-07-03 13:30:03] IP: ::1 | User: admin | Activity: Session expired
[2026-07-03 13:30:06] IP: ::1 | User: admin | Activity: Session expired
[2026-07-03 13:30:19] IP: ::1 | User: admin | Activity: Session expired
[2026-07-03 13:30:19] IP: ::1 | User: admin | Activity: Successful login
